# hostname=localhost.localdomain cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-18T14:47:31Z
alg,chunk_size_kb,trial,throughput_mbs
blake3,256,26,10627.315847083148
blake3,256,27,10636.371013551894
blake3,256,28,10635.939465249321
blake3,256,29,10610.110495001416
blake3,1024,0,12493.756553236108
blake3,1024,1,12511.645666284841
blake3,1024,2,12441.723323722399
blake3,1024,3,12317.205248381906
blake3,1024,4,12499.71390425329
blake3,1024,5,12511.645666284841
blake3,1024,6,12520.609447389788
blake3,1024,7,12507.168587036904
blake3,1024,8,12534.079227330321
blake3,1024,9,12523.600229313968
blake3,1024,10,12514.632166897407
blake3,1024,11,12523.600229313968
blake3,1024,12,12517.620093591826
blake3,1024,13,12519.11459203897
blake3,1024,14,12311.420553944417
blake3,1024,15,12495.245358564312
blake3,1024,16,12508.660590733407
blake3,1024,17,12519.11459203897
blake3,1024,18,12513.138738394711
blake3,1024,19,12477.254607979628
blake3,1024,20,12467.018595139583
blake3,1024,21,12477.254607979628
blake3,1024,22,12490.780006670797
blake3,1024,23,12487.656158820517
blake3,1024,24,12483.344841543847
blake3,1024,25,12468.352774706002
blake3,1024,26,12248.145682213733
blake3,1024,27,12484.682517948779
blake3,1024,28,12478.887989717714
blake3,1024,29,12489.143510522994
k12,64,0,1580.3993440725378
k12,64,1,1588.4434533908575
k12,64,2,1592.6898026635558
k12,64,3,1591.1430513741866
k12,64,4,1591.1816835409231
k12,64,5,1589.2138319026142
k12,64,6,1590.370801786061
k12,64,7,1593.0769604745005
k12,64,8,1592.3415214908764
k12,64,9,1590.756832855964
k12,64,10,1596.9978312254796
k12,64,11,1597.3481524812323
k12,64,12,1596.6087655614297
k12,64,13,1599.2971838547514
k12,64,14,1597.3870865527579
k12,64,15,1596.219889422023
k12,64,16,1596.9978312254796
k12,64,17,1598.5559919018465
k12,64,18,1596.5698694211655
k12,64,19,1598.946007270598
k12,64,20,1597.7765316819855
k12,64,21,1581.5435107872001
k12,64,22,1544.931636020745
k12,64,23,1598.5559919018465
k12,64,24,1598.166166752018
k12,64,25,1594.2783467535942
k12,64,26,1600.5079737221286
k12,64,27,1596.5698694211655
k12,64,28,1598.166166752018
k12,64,29,1598.1271946937184
k12,256,0,1608.7586223826006
k12,256,1,1594.9379411048917
k12,256,2,1608.9659786284656
k12,256,3,1609.262294578783
k12,256,4,1609.548837095071
k12,256,5,1608.2749989263607
k12,256,6,1608.7684952776056
k12,256,7,1571.9365574311157
k12,256,8,1608.6697717802856
k12,256,9,1605.4088481701044
