# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-24T11:15:51Z
source,scenario,n_chunks,chunk_size_kb,wall_time_ms,peak_rss_mb,companion_bytes,trial,hostname,disk_type
synthetic,flat_verify,54608,64.0,1284.441,13659.7,0,23,COG,ssd
synthetic,flat_verify,54608,64.0,1283.449,13659.7,0,24,COG,ssd
synthetic,flat_verify,54608,64.0,1283.323,13659.7,0,25,COG,ssd
synthetic,flat_verify,54608,64.0,1283.529,13659.7,0,26,COG,ssd
synthetic,flat_verify,54608,64.0,1284.737,13659.7,0,27,COG,ssd
synthetic,flat_verify,54608,64.0,1283.691,13659.7,0,28,COG,ssd
synthetic,flat_verify,54608,64.0,1284.373,13659.7,0,29,COG,ssd
synthetic,flat_verify,54608,64.0,1280.666,13659.7,0,30,COG,ssd
synthetic,extend_merkle,54608,64.0,0.379,13659.7,0,1,COG,ssd
synthetic,extend_merkle,54608,64.0,0.373,13659.7,0,2,COG,ssd
synthetic,extend_merkle,54608,64.0,0.367,13659.7,0,3,COG,ssd
synthetic,extend_merkle,54608,64.0,0.363,13659.7,0,4,COG,ssd
synthetic,extend_merkle,54608,64.0,0.366,13659.7,0,5,COG,ssd
synthetic,extend_merkle,54608,64.0,0.359,13659.7,0,6,COG,ssd
synthetic,extend_merkle,54608,64.0,0.359,13659.7,0,7,COG,ssd
synthetic,extend_merkle,54608,64.0,0.362,13659.7,0,8,COG,ssd
synthetic,extend_merkle,54608,64.0,0.369,13659.7,0,9,COG,ssd
synthetic,extend_merkle,54608,64.0,0.360,13659.7,0,10,COG,ssd
synthetic,extend_merkle,54608,64.0,0.361,13659.7,0,11,COG,ssd
synthetic,extend_merkle,54608,64.0,0.363,13659.7,0,12,COG,ssd
synthetic,extend_merkle,54608,64.0,0.357,13659.7,0,13,COG,ssd
synthetic,extend_merkle,54608,64.0,0.360,13659.7,0,14,COG,ssd
synthetic,extend_merkle,54608,64.0,0.353,13659.7,0,15,COG,ssd
synthetic,extend_merkle,54608,64.0,0.362,13659.7,0,16,COG,ssd
synthetic,extend_merkle,54608,64.0,0.359,13659.7,0,17,COG,ssd
synthetic,extend_merkle,54608,64.0,0.365,13659.7,0,18,COG,ssd
synthetic,extend_merkle,54608,64.0,0.362,13659.7,0,19,COG,ssd
synthetic,extend_merkle,54608,64.0,0.356,13659.7,0,20,COG,ssd
synthetic,extend_merkle,54608,64.0,0.357,13659.7,0,21,COG,ssd
synthetic,extend_merkle,54608,64.0,0.363,13659.7,0,22,COG,ssd
synthetic,extend_merkle,54608,64.0,0.358,13659.7,0,23,COG,ssd
synthetic,extend_merkle,54608,64.0,0.364,13659.7,0,24,COG,ssd
synthetic,extend_merkle,54608,64.0,0.373,13659.7,0,25,COG,ssd
synthetic,extend_merkle,54608,64.0,0.357,13659.7,0,26,COG,ssd
synthetic,extend_merkle,54608,64.0,0.369,13659.7,0,27,COG,ssd
synthetic,extend_merkle,54608,64.0,0.357,13659.7,0,28,COG,ssd
synthetic,extend_merkle,54608,64.0,0.357,13659.7,0,29,COG,ssd
synthetic,extend_merkle,54608,64.0,0.362,13659.7,0,30,COG,ssd
synthetic,update_merkle,54608,64.0,0.363,13659.7,0,1,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,2,COG,ssd
synthetic,update_merkle,54608,64.0,0.366,13659.7,0,3,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,4,COG,ssd
synthetic,update_merkle,54608,64.0,0.360,13659.7,0,5,COG,ssd
synthetic,update_merkle,54608,64.0,0.361,13659.7,0,6,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,7,COG,ssd
synthetic,update_merkle,54608,64.0,0.357,13659.7,0,8,COG,ssd
synthetic,update_merkle,54608,64.0,0.363,13659.7,0,9,COG,ssd
synthetic,update_merkle,54608,64.0,0.356,13659.7,0,10,COG,ssd
synthetic,update_merkle,54608,64.0,0.356,13659.7,0,11,COG,ssd
synthetic,update_merkle,54608,64.0,0.359,13659.7,0,12,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,13,COG,ssd
synthetic,update_merkle,54608,64.0,0.359,13659.7,0,14,COG,ssd
synthetic,update_merkle,54608,64.0,0.359,13659.7,0,15,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,16,COG,ssd
synthetic,update_merkle,54608,64.0,0.362,13659.7,0,17,COG,ssd
synthetic,update_merkle,54608,64.0,0.365,13659.7,0,18,COG,ssd
synthetic,update_merkle,54608,64.0,0.356,13659.7,0,19,COG,ssd
synthetic,update_merkle,54608,64.0,0.358,13659.7,0,20,COG,ssd
synthetic,update_merkle,54608,64.0,0.357,13659.7,0,21,COG,ssd
synthetic,update_merkle,54608,64.0,0.357,13659.7,0,22,COG,ssd
synthetic,update_merkle,54608,64.0,0.361,13659.7,0,23,COG,ssd
synthetic,update_merkle,54608,64.0,0.357,13659.7,0,24,COG,ssd
synthetic,update_merkle,54608,64.0,0.361,13659.7,0,25,COG,ssd
synthetic,update_merkle,54608,64.0,0.357,13659.7,0,26,COG,ssd
synthetic,update_merkle,54608,64.0,0.359,13659.7,0,27,COG,ssd
synthetic,update_merkle,54608,64.0,0.361,13659.7,0,28,COG,ssd
synthetic,update_merkle,54608,64.0,0.360,13659.7,0,29,COG,ssd
synthetic,update_merkle,54608,64.0,0.362,13659.7,0,30,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,1,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,2,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,3,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,4,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,5,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,6,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,7,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,8,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,9,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,10,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,11,COG,ssd
