# hostname=DESKTOP-0N3E8CV cpu_model="AMD Ryzen 9 7900X3D 12-Core Processor" date=2026-07-07T10:11:31Z
scheme,platform,n_datasets,sign_ms,verify_ms,sig_size_bytes,pubkey_size_bytes,header_overhead_bytes,trial
hybrid_mldsa65,x86_avx512,1000000,1.089,0.124,3374,1984,5358,25
hybrid_mldsa65,x86_avx512,1000000,1.076,0.130,3374,1984,5358,26
hybrid_mldsa65,x86_avx512,1000000,1.073,0.123,3374,1984,5358,27
hybrid_mldsa65,x86_avx512,1000000,1.087,0.124,3374,1984,5358,28
hybrid_mldsa65,x86_avx512,1000000,1.072,0.123,3374,1984,5358,29
hybrid_mldsa65,x86_avx512,1000000,1.080,0.135,3374,1984,5358,30
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,1
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,2
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,3
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,4
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,5
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,6
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,7
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,8
ed25519,x86_avx512,10000000,0.013,0.023,64,32,96,9
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,10
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,11
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,12
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,13
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,14
ed25519,x86_avx512,10000000,0.012,0.027,64,32,96,15
ed25519,x86_avx512,10000000,0.012,0.042,64,32,96,16
ed25519,x86_avx512,10000000,0.013,0.024,64,32,96,17
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,18
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,19
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,20
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,21
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,22
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,23
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,24
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,25
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,26
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,27
